reaction,resp,ferm,
CERH126,0,0,
CERS124,0,0,
CERS126,0,0,
CERS224,0,0,
CERS226,0,0,
CERS2_24,0,0,
CERS2_26,0,0,
CERS324,0,0,
CERS326,0,0,
CHLPCTD,0,0,
CHLSTI,0.00021,0,
CHLt2,0,0,
CHOLK,0,0,
CHORM,0.07077,0.07077,
CHORS,0.07929,0.07929,
CHRPL,0,0,
CHTNDA,0,0,
CHTNS,0,0,
CITt2r,0,-4.65608e-11,
CITtam,-3.63495e-13,-4.67092e-11,
CITtap,-9.55991e-13,-1.33839e-12,
CITtbm,0,0,
CITtcm,-1000,-1000,
CITtcp,0,0,
CLPNSm_SC,0,0,
CMPN,0,0,
CMPtm,-1.42259e-13,-1.42259e-13,
CO2t,-7.71748,-33.4005,
CO2tg,0,0,
CO2tm,-3.2117,-11.7864,
CO2tn,-6.68412e-12,0,
CO2tp,0,0,
CO2tv,0,0,
CPPPGO,0,0,
CRNCARtm,0,0.43971,
CRNCARtp,0,0,
CRNt,0,0,
CRNtim,0,0,
CRNtp,0,0,
CSNAT,0,0.43971,
CSNATifm,0,0.43971,
CSNATirm,0,0,
CSNATirp,0,0,
CSND,0,0,
CSNt2,0,0,
CSm,0.30564,0.35385,
CSp,0,0,
CTPS1,0.01341,0.01341,
CTPS2,0,0,
CYOOm,7.48541,0,
CYOR_u6m,14.9708,0,
CYSS,0.00198,0.00198,
CYSTGL,0,0,
CYSTL,0,0,
CYSTLp,0,0,
CYSTRS,0,0,
CYSTS,0,0,
CYSTtp,-1.89668e-13,0,
CYSt2r,0,0,
CYTD,0,0,
CYTDK2,0,0,
CYTDt2,0,0,
CYTK1,-0.00816,-0.00816,
CYTK2,999.998,999.998,
DADA,0,0,
DADK,-0.00108,-0.00108,
DADNt2,0,0,
DADPtn,0,0,
DAGCPT_SC,0,0,
DAGPYP_SC,0.00198,0.00198,
DANNt2,0,0,
DASYN_SC,0.00525,0.00525,
DASYNm_SC,0,0,
DB4PS,0,0,
DBTSr,0,0,
DCDPtn,0,0,
DCMPDA,-999.999,-999.999,
DCTPD,999.998,999.998,
DCYTD,0,0,
DCYTt2,0,0,
DDPA,0.07929,0.07929,
DDPAm,0,0,
DESAT14,0,0,
DESAT16,0.002856,0.002856,
DESAT18,0.005544,0.005544,
DESAT18_2,0.001512,0.001512,
DGDPtn,0,0,
DGGH,0,0,
DGK1,-0.00072,-0.00072,
DGSNt2,0,0,
DHAD1m,0.1683,0.1683,
DHAD2m,0.05781,0.05781,
DHAK,0,0,
DHAPtm,0,0,
DHFRi,0.00108,0.00108,
DHFRim,0,0,
DHFS,0,0,
DHFtm,0,0,
DHNPAm,0,0,
DHNPTtm,0,0,
DHORD,2.07157e-13,56.7719,
DHORD4,0.03318,-56.7387,
DHORTS,-1.40334e-13,4.21003e-13,
DHORTSn,-0.03318,-0.03318,
DHORtn,-0.03318,-0.03318,
DHPPDA,0,0,
DHPSm,0,0,
DHPTtm,0,0,
DHQS,0.07929,0.07929,
DHQTi,0.07929,0.07929,
DIAT,0,0,
DICtm,3.94581e-13,999.888,
DINSt2,0,0,
DIPS,0,0,
DMATT,0.00132,0.00132,
DMQMT6m,0,0,
DNMPPA,0,1.12749e-11,
DNTPPA,0,1.10042e-11,
DOLK,0,0,
DOLPMMer,0.24237,0.24237,
DOLPMTcer,0.24237,0.24237,
DOLPt2er,-0.24237,-0.24237,
DPCOAK,0,0,
DPCOAKm,0,0,
DPGM,0,0,
DPMVD,0.00396,0.00396,
DPR,0,0,
DPRm,0,0,
DRBK,0,0,
DTMPK,0,0,
DTTPt,0,0,
DUMPtn,1.12378e-13,1.12378e-13,
DURIK1,0,0,
DURIPP,0,-1.30596e-13,
DURIt2,0,0,
DUTPDP,0,0,
DXHPScm,0,0,
D_LACDm,0,0,
D_LACtm,1.21543e-13,1.21543e-13,
E4HGLUtm,1.53549e-13,1.53549e-13,
E4HGLUtp,0,0,
E4Ptm,0,0,
ECOAH11p,0,0,
ECOAH4p,0,0,
ECOAH5p,0,0,
ECOAH6p,-2.37855e-13,0,
ECOAH7p,1.22895e-13,0,
ECOAH8p,0,0,
EHGLAT,0,0,
EHGLATm,0,0,
EHGLATp,0,0,
ENO,1.89951,1.94772,
EPMGH,0,0,
ERGSTt,0,0,
ERGSTter,0.00021,0.00021,
ERGTETROLter,0.00021,0.00021,
ETHAK,0,0,
ETHAPT_SC,1.25227e-13,1.25227e-13,
ETOHt,0,0,
ETOHtm,1.84546e-13,1.84546e-13,
EX_13BDglcn(e),0,0,
EX_4abut(e),0,0,
EX_5aop(e),0,0,
EX_8aonn(e),0,0,
EX_abt(e),0,0,
EX_ac(e),0,0,
EX_acald(e),0,0,
EX_ade(e),0,0,
EX_adn(e),0,0,
EX_akg(e),0,0,
EX_ala_L(e),0,0,
EX_alltn(e),0,0,
EX_alltt(e),0,0,
EX_amet(e),0,0,
EX_arab_D(e),0,0,
EX_arab_L(e),0,0,
EX_arg_L(e),0,0,
EX_asn_L(e),0,0,
EX_asp_L(e),0,0,
EX_btn(e),0,0,
EX_chol(e),0,0,
EX_cit(e),0,0,
EX_co2(e),7.71748,33.4005,
EX_crn(e),0,0,
EX_csn(e),0,0,
EX_cys_L(e),0,0,
EX_cytd(e),0,0,
EX_dad_2(e),0,0,
EX_dann(e),0,0,
EX_dcyt(e),0,0,
EX_dgsn(e),0,0,
EX_din(e),0,0,
EX_dttp(e),0,0,
EX_duri(e),0,0,
EX_ergst(e),0,0,
EX_etoh(e),0,0,
EX_fmn(e),0,0,
EX_for(e),0,0,
EX_fru(e),0,0,
EX_fum(e),0,0,
EX_gal(e),0,0,
EX_gam6p(e),0,0,
EX_gcald(e),0,0,
EX_glc(e),-3.08251,-7.36301,
EX_gln_L(e),0,0,
EX_glu_L(e),0,0,
EX_gly(e),0,0,
EX_glyc(e),0,0,
EX_gsn(e),0,0,
EX_gthox(e),0,0,
EX_gua(e),0,0,
EX_h(e),1.51275,1.51275,
EX_h2o(e),11.2933,36.9763,
EX_hdca(e),0,0,
EX_hdcea(e),0,0,
EX_his_L(e),0,0,
EX_hxan(e),0,0,
EX_ile_L(e),0,0,
EX_inost(e),0,0,
EX_ins(e),0,0,
EX_k(e),0,0,
EX_lac_L(e),0,0,
EX_leu_L(e),0,0,
EX_lys_L(e),0,0,
EX_mal_L(e),0,0,
EX_malt(e),0,0,
EX_man(e),0,0,
EX_melib(e),0,0,
EX_met_L(e),0,0,
EX_mmet(e),0,0,
EX_na1(e),0,0,
EX_nh4(e),-1.67775,-1.67775,
EX_nmn(e),0,-1.57e-11,
EX_o2(e),-7.50213,-33.1851,
EX_ocdca(e),0,0,
EX_ocdcea(e),0,0,
EX_ocdcya(e),0,0,
EX_orn(e),0,0,
EX_pap(e),0,0,
EX_pepd(e),0,0,
EX_phe_L(e),0,0,
EX_pi(e),-0.05931,-0.05931,
EX_pnto_R(e),0,0,
EX_pro_L(e),0,0,
EX_ptrc(e),0,0,
EX_pyr(e),0,0,
EX_rib_D(e),0,0,
EX_ribflv(e),0,0,
EX_sbt_D(e),0,0,
EX_sbt_L(e),0,0,
EX_ser_L(e),0,0,
EX_so4(e),-0.02319,-0.02319,
EX_spmd(e),0,0,
EX_sprm(e),0,0,
EX_srb_L(e),0,0,
EX_succ(e),0,0,
EX_sucr(e),0,0,
EX_thm(e),0,0,
EX_thmmp(e),0,0,
EX_thmpp(e),0,0,
EX_thr_L(e),0,0,
EX_thym(e),0,0,
EX_thymd(e),0,0,
EX_tre(e),0,0,
EX_trp_L(e),0,0,
EX_ttdca(e),0,0,
EX_tyr_L(e),0,0,
EX_ura(e),0,0,
EX_urea(e),0,6.16374e-12,
EX_uri(e),0,0,
EX_val_L(e),0,0,
EX_xan(e),0,0,
EX_xtsn(e),0,0,
EX_xyl_D(e),0,0,
EX_xylt(e),0,0,
EX_zymst(e),0,0,
FA100tp,0,0,
FA120ACPH,0,0,
FA120ACPtm,0,0,
FA120tp,0,0,
FA140ACPH,0,-3.9774e-13,
FA140ACPtm,0,0,
FA140COAabcp,0,0,
FA140tp,0,0,
FA141ACPH,-3.99978e-13,-1.33326e-13,
FA141ACPtm,0,0,
FA141COAabcp,0,0,
FA141tp,0,0,
FA160ACPH,0,0,
FA160ACPtm,0,0,
FA160COAabcp,0,0,
FA160tp,0,0,
FA161ACPH,0,0,
FA161ACPtm,0,0,
FA161COAabcp,0,0,
FA161tp,0,0,
FA180ACPH,0,3.9774e-13,
FA180ACPtm,0,0,
FA180COAabcp,0,0,
FA181ACPH,0,0,
FA181ACPtm,0,0,
FA181COAabcp,0,0,
FA182ACPH,0,0,
FA182ACPtm,0,0,
FA182COAabcp,0,0,
FA240tp,0,0,
FA260tp,0,0,
FA80tp,0,0,
FACOAL100p,3.98788e-13,0,
FACOAL120p,-1.32929e-13,-1.32929e-13,
FACOAL140,-0.013776,-0.013776,
FACOAL140p,2.26971e-13,-1.13486e-13,
FACOAL141,-4.08458e-13,-1.36153e-13,
FACOAL141p,0,0,
FACOAL160,0.007392,0.007392,
FACOAL160p,0,1.76912e-12,
FACOAL161,0,0,
FACOAL161p,0,0,
FACOAL180,0.006384,0.006384,
FACOAL181,-1.1527e-13,0,
FACOAL182,0,0,
FACOAL240p,0,0,
FACOAL260p,0,0,
FACOAL80p,0,-1.13733e-13,
FADFMNtm,0,0,
FALDH,0,0,
FAO141p_even,0,0,
FAO141p_odd,0,0,
FAO161p_even,0,0,
FAO161p_odd,0,0,
FAO181p_even,0,0,
FAO181p_odd,0,0,
FAO182p_eveneven,0,0,
FAO182p_evenodd,0,0,
FAO182p_oddodd,0,0,
FAO240p,0,0,
FAO80p,0,0,
FAS100,0,0,
FAS100ACPm,0,0,
FAS100COA,0.0168,0.0168,
FAS120,0,0,
FAS120ACPm,0,0,
FAS120COA,0.016464,0.016464,
FAS140,0,0,
FAS140ACPm,0,0,
FAS140COA,0.015456,0.015456,
FAS141ACPm,0,0,
FAS160,0.013776,0.013776,
FAS160ACPm,0,0,
FAS160COA,0,0,
FAS161ACPm,0,0,
FAS180,0.006384,0.006384,
FAS180ACPm,0,0,
FAS180COA,0,0,
FAS181ACPm,0,0,
FAS182ACPm,0,0,
FAS240_L,0,0,
FAS260,0,0,
FAS80ACPm_L,0,0,
FAS80COA_L,0.0168,0.0168,
FAS80_L,0,0,
FBA,0,-4.67937e-12,
FBA2,1.32032e-13,3.56488e-12,
FBA3,2.24114,6.52164,
FBP,0,0,
FBP26,0,0,
FCLTm,0,0,
FDH,4.53071,21.5563,
FDNG,0,0,
FKYNH,0,0,
FMETTRSm,0,0,
FMNAT,0,0,
FMNATm,0,0,
FOLD3m,0,0,
FORt,0,0,
FORtm,0,0,
FRDcm,0,0,
FRDm,0,0,
FRUK,0,0,
FRUt2,0,0,
FTHFCL,0,0,
FTHFCLm,0,0,
FTHFI,0,0,
FTHFL,-4.53005,-21.5556,
FTHFLm,0,-3.1709e-12,
FUM,0.11238,1000,
FUMAC,0,0,
FUMm,-9.53405e-13,-999.839,
FUMt2r,0,-8.78848e-12,
G12MT1g,0,0,
G12MT2g,0,0,
G13MTg,0,0,
G16MTg,0,0,
G3PD1ir,0.00741,0.00741,
G3PD1irm,0,0,
G3PDm,0,0,
G3PT,0,0,
G5SADr,0.04941,0.04941,
G5SADrm,0,-3.17676e-13,
G5SD,0,0,
G5SD2,0.01809,0.04941,
G6PDA,0,0,
G6PDH2,0,0,
G6PDH2er,0.00087,0.00087,
G6PI,-2.5559,-7.36301,
G6PI2,0,0,
G6Pter,0.00087,0.00087,
GALIGH,0,0,
GALK,0,0,
GALS3,0,0,
GALT,-999.497,-999.497,
GALU,1000,1000,
GALt2,0,0,
GAM6Pt,0,0,
GAPD,4.40048,12.9615,
GARFTi,0.0294,0.0294,
GAT1_SC,0.00741,0.00741,
GAT2_SC,0,0,
GBEZ,0.15555,0.15555,
GCALDt,0,0,
GCALDtm,0,0,
GCC2am,0,0,
GCC2bim,0,0,
GCC2cm,-1.51527e-13,0.04821,
GCCam,0,0,
GCCbim,0,0,
GCCcm,0,0,
GDPt3g,0,0,
GDPtn,0,0,
GF6PTA,0,0,
GGLGH,0,0,
GHMT2r,1000,1000,
GHMT2rm,-997.569,-989.056,
GK1,1000,1000,
GK2,-999.999,-999.999,
GLCP,0,0,
GLCS2,0,0,
GLCt1,3.08251,7.36301,
GLCtv,0,0,
GLNS,0.24525,0.24525,
GLNTRS,0,0,
GLNt2n,6.78278e-12,0,
GLNt2r,0,0,
GLPT,0,0,
GLU5K,0.01809,0.04941,
GLUCYS,0,0,
GLUDC,0,0,
GLUDxi,0,0,
GLUDy,-3.67562,-12.1884,
GLUK,2.5559,7.36301,
GLUN,0,0,
GLUPRT,0.0294,0.0294,
GLUSx,0,0,
GLUTRS,0,0,
GLUTRSm,0,0,
GLUt2m,-0.14025,-0.17157,
GLUt2n,-6.81802e-12,0,
GLUt2r,0,0,
GLUt5m,0,0,
GLXtp,0,0,
GLYC3Ptm,0,0,
GLYCLm,2.19944,10.7122,
GLYCt,0,0,
GLYGS,0.15555,0.15555,
GLYK,0,0,
GLYOX,0,0,
GLYOXm,0,0,
GLYTRS,0,0,
GLYt2m,999.768,999.768,
GLYt2r,0,1.61183e-12,
GMPS2,0.01452,0.01452,
GND,0.00087,0.00087,
GNNUC,0,0,
GRTT,0.00132,0.00132,
GSNK,0,0,
GSNt2,0,0,
GSNt2m,0,0,
GTHO,0,9.56454,
GTHOXti,0,0,
GTHP,0,9.56454,
GTHS,0,0,
GTMLT,0,0,
GTPCI,0,0,
GTPCII,0,0,
GUAPRT,0,0,
GUAt2r,0,6.3073e-13,
GUAtm,0,0,
H2Ot,-11.2933,-36.9763,
H2Oter,-0.00066,-0.00066,
H2Otm,965.998,-10.5698,
H2Otn,0.03318,0.03318,
H2Otp,3.83118e-13,-2.29871e-12,
H2Otv,0,0,
HACD10p,0,0,
HACD4p,0,0,
HACD5p,1.42262e-13,0,
HACD6p,1.41223e-13,0,
HACD7p,0,0,
HACD8p,0,0,
HACDp,0,0,
HACNHm,0.08586,0.08586,
HBZOPT6,0,0,
HBZOPT6m,0,0,
HCITSm,0.08586,0.08586,
HCITSn,0,0,
HCO3E,0.67446,1.03149,
HCO3Em,0,0,
HCO3En,6.69213e-12,0,
HCYSMT,0,0,
HCYSt2p,1.90255e-13,1.90255e-13,
HDCAt,0,0,
HDCEAt,0,0,
HETZK,0,0,
HEX1,0,0,
HEX4,0,0,
HEX7,0.526602,0,
HGNTOR,0,0,
HICITDm,0.08586,0.08586,
HISTD,0.01989,0.01989,
HISTP,0.01989,0.01989,
HISTRS,0,0,
HISTRSm,0,0,
HISt2m,0,0,
HISt2r,0,0,
HKYNH,0,0,
HMBS,0,0,
HMGCOAR,-0.00396,-0.00396,
HMGCOAS,-0.00396,-0.00396,
HMGCOASm,0,6.9387e-13,
HMGCOAtm,0,7.57551e-13,
HMPK1,0,0,
HPPKm,0,0,
HPROa,0,0,
HPROb,0,0,
HPROxm,0,0,
HPROym,0,0,
HSDxi,0.01521,0.01521,
HSDyi,0,0,
HSERTA,0.01521,0.01521,
HSK,0,0,
HSTPT,0.01989,0.01989,
HXANt2r,0,-2.01588e-11,
HXPRT,0,0,
HYPOE,0,0,
ICDHxm,0,0.35385,
ICDHy,0,0,
ICDHym,0.30564,0,
ICDHyp,0,0,
ICL,0,0,
ID3ACALDtm,-2.085e-13,4.17e-13,
IG3PS,0.01989,0.01989,
IGPDH,0.01989,0.01989,
IGPS,0.00852,0.00852,
ILETA,-0.05781,-0.05781,
ILETAm,0,0,
ILETRS,0,0,
ILETRSm,0,0,
ILEt2r,0,0,
IMPC,-0.04929,-0.04929,
IMPD,0.01452,0.01452,
IND3ACtm,2.085e-13,-4.17e-13,
INDPYRD,0,0,
INSK,0,0,
INSTt2,0,0,
INSt2,0,0,
IPCS124_SC,0,0,
IPCS126_SC,0,0,
IPCS224_SC,0,0,
IPCS226_SC,0,0,
IPCS324_SC,0,0,
IPCS326_SC,0,0,
IPDDI,0.00132,0.00132,
IPMD,0.08892,0.08892,
IPPMIa,-0.08892,-0.08892,
IPPMIb,-0.08892,-0.08892,
IPPS,0.08892,0.08892,
IPPSm,0,0,
ITCOALm,0,0,
KARA1im,0.1683,0.1683,
KARA2im,0.05781,0.05781,
KATp,0,0,
KYN,0,0,
KYN3OX,0,0,
Kt2r,0,0,
LCADm,0,0,
LEUTA,-0.08892,-0.08892,
LEUTAm,0,0,
LEUTRS,0,0,
LEUTRSm,0,0,
LEUt2r,0,0,
LGTHL,0,0,
LNS14DM,0.00066,0.00066,
LNSTLS,0.00066,0.00066,
LPP_SC,0,0,
LYSTRS,0,0,
LYSTRSm,0,0,
LYSt2m,0,0,
LYSt2r,0,0,
L_LACDm,0,0,
L_LACt2r,0,0,
M1PD,0,0,
MACACI,0,0,
MALOAAtp,-1.18583e-12,-2.87987e-12,
MALSp,0,0,
MALT,0,0,
MALTt2,0,0,
MALt2r,-1000,1000,
MALtm,0.00633,-10.974,
MAN1PT,0.24237,0.24237,
MAN6PI,-0.24237,-0.24237,
MANNANter,-0.24237,-0.24237,
MANt2,0,0,
MCITDm,0.08586,0.08586,
MCITLm,0,0,
MCITS,0,0,
MCOATA,0,0,
MCOATAm,0,0,
MDH,0.10605,11.0864,
MDHm,0.00633,-11.2829,
MDHp,0,1.01642e-12,
ME1m,0,0.08271,
ME2m,0,0.27432,
MELIBt2,0,0,
MELTGH,0,0,
METAT,0.00561,0.00561,
METB1,0,0,
METS,0.02082,0.02082,
METTRS,0,0,
METTRSm,0,0,
METt2m,0,0,
METt2r,0,0,
MEVK1,0.00396,0,
MEVK2,0,0,
MEVK3,0,0,
MEVK4,0,0.00396,
MFAPS_SC,0.0018,0.0018,
MHPGLUT,0,0,
MI1PP,0.00159,0.00159,
MI1PS,0.00159,0.00159,
MIP2CS124_SC,0,0,
MIP2CS126_SC,0,0,
MIP2CS224_SC,0,0,
MIP2CS226_SC,0,0,
MIP2CS324_SC,0,0,
MIP2CS326_SC,0,0,
MIPCS124_SC,0,0,
MIPCS126_SC,0,0,
MIPCS224_SC,0,0,
MIPCS226_SC,0,0,
MIPCS324_SC,0,0,
MIPCS326_SC,0,0,
MLTHFtm,995.369,978.344,
MMETt2,0,0,
MOHMT,0,0,
MTHFC,4.60874,21.6343,
MTHFCm,-1.84618e-13,3.13851e-12,
MTHFD,4.60874,21.6343,
MTHFD2,0,0,
MTHFDm,-1.63534e-13,3.10714e-12,
MTHFR3,0.02082,0.02082,
NABTNO,0,0,
NADDPp,0,0,
NADH2_u6cm,12.2545,56.6905,
NADH2_u6m,2.68313,0,
NADK,0,0,
NADKm,0,0,
NADN,0,0,
NADNm,0,0,
NADPPPS,0,0,
NADPPPSm,0,0,
NADS1,0,8.34577e-12,
NADS1m,0,-8.35055e-12,
NAPRT,0,0,
NAPRTm,0,0,
NAt3_1,0,0,
NDP3,0,0,
NDP3g,0,0,
NDP4,0,0,
NDPK1,1000,1000,
NDPK2,0.51642,0.52218,
NDPK3,-0.00816,-0.00816,
NDPK4,0,-1.29082e-13,
NDPK5,1.24439e-13,1.24439e-13,
NDPK6,-999.998,-1000,
NDPK7,999.998,999.998,
NDPK8,-999.999,-999.999,
NDPK9,0.591,-1000,
NH4t,1.67775,1.67775,
NH4tm,-2.25725,-10.77,
NH4tp,2.46121e-13,0,
NMNAT,0,0,
NMNATm,0,0,
NMNTP,0,1.57e-11,
NMNt2m,0,-2.43087e-13,
NMNt2p,0,0,
NNAMr,0,0,
NNAMrm,0,0,
NNAT,0,0,
NNATm,0,-8.35055e-12,
NNDPR,0,0,
NNDPRm,0,-8.35105e-12,
NTD1,0,0,
NTD10,0,0,
NTD11,0,2.13373e-11,
NTD2,0,0,
NTD3,0,0,
NTD4,0,0,
NTD5,0,0,
NTD6,0,-3.26003e-11,
NTD7,0,0,
NTD8,0,0,
NTD9,0,0,
NTP3,0,0,
NTP4,0,0,
NTRLASE,0,0,
NTRLASE2,0,0,
NTRLASE3,0,0,
O2t,7.50213,33.1851,
O2ter,0.00066,0.00066,
O2tm,7.48541,0,
OAAt2m,1000,1000,
OCBTi,0.04821,0.04821,
OCDCAt,0,0,
OCDCEAt,0,0,
OCDCYAt,0,0,
OCTDP_5tm,0,0,
OHPBAT,0,0,
OHPHM6n,0,0,
OMBZLM6m,0,0,
OMCDC,0.08892,0.08892,
OMCDCm,0,0,
OMMBLHX6m,0,0,
OMPDC,0.03318,0.03318,
OMPHHX6m,0,0,
OPHBDC6,0,0,
OPHHX6,0,0,
ORNDC,0,0,
ORNTA,0.03132,0,
ORNTACim,0.07953,0.04821,
ORNt2r,0,0,
ORNt3m,0.07953,0.04821,
ORPT,-0.03318,-0.03318,
OXAGm,0.08586,0.08586,
OXO2Ctm,0,0,
P5CDm,0,3.70752e-12,
P5CR,0.04941,0.04941,
PAK_SC,0,0,
PAN4Ptm,0,0,
PANTS,0,0,
PANTtm,0,-4.76489e-12,
PAPSR,0.01719,0.01719,
PAPt,0,0,
PAPtm,0,0,
PAtm_SC,0,0,
PC,0.47379,0.83082,
PCLAD,0,0,
PDE1,0,0,
PDE2,0,0,
PDE3,0,0,
PDE4,0,0,
PDE5,0,0,
PDHcm,0,0,
PDHm,0.3915,0,
PDX5PO,0,0,
PEPAT,0,0,
PEPDt3,0,0,
PETHCT,0,0,
PETOHM_SC,0.0018,0.0018,
PEtg_SC,0,0,
PEtm_SC,-3.15e-05,-3.15e-05,
PEtv_SC,0,0,
